Ref,Val,Package,PosX,PosY,Rot,Side
"C1","0.1uF","C_0402_1005Metric",186.305524,-59.446058,180.000000,top
"C2","0.1uF","C_0402_1005Metric",217.385524,-46.346058,180.000000,top
"C3","22uF","C_1206_3216Metric",219.585524,-51.756592,-90.000000,top
"C4","22uF","C_1206_3216Metric",193.785524,-51.756592,90.000000,top
"C5","0.1uF","C_0402_1005Metric",217.365524,-56.996058,0.000000,top
"C6","0.1uF","C_0402_1005Metric",195.965524,-57.396058,0.000000,top
"C7","22uF","C_1206_3216Metric",208.235524,-51.756592,-90.000000,top
"C8","22uF","C_1206_3216Metric",205.085524,-51.756592,-90.000000,top
"C9","0.1uF","C_0402_1005Metric",195.935524,-46.146058,180.000000,top
"J1","16-Pin LCD","PinSocket_1x16_P2.54mm_Vertical",180.738932,-76.292116,90.000000,top
"J2","PWR","PinHeader_1x02_P2.54mm_Vertical",173.214466,-92.442116,0.000000,top
"J3","Inter Board","PinHeader_1x04_P2.54mm_Vertical",173.214466,-88.562116,180.000000,top
"J4","Conn_01x19","PinHeader_1x19_P2.54mm_Vertical",218.969990,-33.334092,-90.000000,top
"J5","Conn_01x19","PinHeader_1x19_P2.54mm_Vertical",218.899990,-70.934092,-90.000000,top
"R1","4.7K","R_0603_1608Metric",187.835524,-57.346058,-90.000000,top
"R2","120","R_0603_1608Metric",186.235524,-57.346058,90.000000,top
"R3","4.7K","R_0603_1608Metric",184.635524,-57.346058,-90.000000,top
"RV1","LCD Pot","10KPot",183.018932,-92.072116,180.000000,top
"U1","ESP32-DEVKITC-32E","MODULE_ESP32-DEVKITC-32E-Edited2",196.099990,-52.089842,-90.000000,top
"U2","AMS1117-5.0","SOT-223-3_TabPin2",213.899990,-51.719092,180.000000,top
"U3","SP3485EN","SOIC-8_3.9x4.9mm_P1.27mm",186.135524,-51.756592,-90.000000,top
"U4","AMS1117-3.3","SOT-223-3_TabPin2",199.449990,-51.794092,0.000000,top
